No_;Tienda;Document No_;Item No_;Nombre Item;Descripción Item Ajuste;Posting Date;Cantidad;Importe Costo;Tipo;Observacion;Creado Por;SEMANA;DIVISION;TIPO DE AJUSTE;AÑO;AJUSTES;Departamento
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C128257;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;8;366.25;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C129530;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;14;666.4;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010280;C089011;CONJUNTO P/DAMA DEPORTIVO CAMISETA+BIKER ;CONJUNTO P/DAMA DEPORTIVO CAMISETA+BIKER  producto sin saldo en acta de dañado Wendy D;6/4/2026 00:00;1;161.3;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN DEVOLUCIONES ( DAÑADO Y REGALIA );AECDOMINIO\AUXILIAR1.INVENTARIO;15;DEPORTIVA;SOBRANTE-FALTANTE;2026;0;DEVOLUCIONES
CDI01;MEGABODEGA AEC;AJSOBRFAL-010281;C204524;CAMISON P/DAMA M/C BOTONES;CAMISON P/DAMA M/C BOTONES faltante solicitado por recepcion (Ever O)(sobran. en otro conten.);6/4/2026 00:00;-24;-2204.31;NEG;AJUSTE DE SALIDA DE PRODUCTO QUE SOBRO EN EL CONTENEDOR( FVS2026-50 Y FALTANTE EN FVS202-52)(DEPTO.AJUSTES Y RECLAMOS);AECDOMINIO\AUXILIAR4.INVENTARIO;15;ROPA;SOBRANTE-FALTANTE;2026;0;AJUSTES Y RECLAMOS
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;482015;SOMBRERO P/DAMA D/PLAYA;SOMBRERO P/DAMA D/PLAYA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;52.54;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C033156;BOLSO P/DAMA PLAYERO ;BOLSO P/DAMA PLAYERO  entrada producto sin saldo cdi (denis g);7/4/2026 00:00;2;325.14;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C033503;SOMBRERO P/DAMA PLAYA;SOMBRERO P/DAMA PLAYA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;60.14;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C050753;SOMBRERO P/DAMA PLAYERO ;SOMBRERO P/DAMA PLAYERO  entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;43.03;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C060664;SOMBRERO P/DAMA;SOMBRERO P/DAMA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;2;90.82;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C060667;SOMBRERO P/DAMA;SOMBRERO P/DAMA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;2;90.82;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C060668;SOMBRERO P/DAMA;SOMBRERO P/DAMA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;49.96;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C092448;SOMBRERO P/NIÑA;SOMBRERO P/NIÑA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;2;145.7;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C093203;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;3;169.42;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C093220;SOMBRERO P/NIÑA PLAYERO;SOMBRERO P/NIÑA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;4;174.53;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010278;C174541;SET ACCESORIOS P/CABELLO NIÑA;SET ACCESORIOS P/CABELLO NIÑA sin saldo en guia de remision (Denis G);6/4/2026 00:00;10;59.89;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN GUIAS DE REMISION (DEPTO INV.FISICO);AECDOMINIO\AUXILIAR4.INVENTARIO;15;ACCESORIOS;SOBRANTE-FALTANTE;2026;1;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010280;C005600;DETERGENTE EN LIQUIDO SHOFF 1300ML SOFTENER;DETERGENTE EN LIQUIDO SHOFF 1300ML SOFTENERproducto sin saldo en acta de dañado Wendy D;6/4/2026 00:00;2;100.87;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN DEVOLUCIONES ( DAÑADO Y REGALIA );AECDOMINIO\AUXILIAR1.INVENTARIO;15;HOGAR;SOBRANTE-FALTANTE;2026;0;DEVOLUCIONES
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;482018;SOMBRERO P/DAMA D/PLAYA;SOMBRERO P/DAMA D/PLAYA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;52.54;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C027021;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;2;105.38;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C033507;SOMBRERO P/DAMA PLAYA;SOMBRERO P/DAMA PLAYA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;2;115.85;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C033511;SOMBRERO P/DAMA PLAYA;SOMBRERO P/DAMA PLAYA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;3;147.03;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C060666;SOMBRERO P/DAMA;SOMBRERO P/DAMA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;2;99.91;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C104944;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;3;139;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C104946;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;11;509.68;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C129719;BOLSO P/DAMA D/PLAYA T-L;BOLSO P/DAMA D/PLAYA T-L entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;121.94;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C130188;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;65.33;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010283;C041339;ALCANCILLA NIÑO;ALCANCILLA NIÑOsin saldo en acta dañado dev Wendy D;7/4/2026 00:00;1;8.69;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN DEVOLUCIONES (DAÑADO MARZO);AECDOMINIO\AUXILIAR1.INVENTARIO;15;JUGUETERIA;SOBRANTE-FALTANTE;2026;1;DEVOLUCIONES
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C060665;SOMBRERO P/DAMA;SOMBRERO P/DAMA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;8;308.73;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C092447;SOMBRERO P/NIÑA;SOMBRERO P/NIÑA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;4;282;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C093222;SOMBRERO P/NIÑA PLAYERO;SOMBRERO P/NIÑA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;4;164.31;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C093236;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;3;77.04;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C128253;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;50.6;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010283;C057337;JABON D/BAÑO BARRA PROTEX 150G SENSITIVE;JABON D/BAÑO BARRA PROTEX 150G SENSITIVEsin saldo en acta dañado dev Wendy D;7/4/2026 00:00;1;24.28;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN DEVOLUCIONES (DAÑADO MARZO);AECDOMINIO\AUXILIAR1.INVENTARIO;15;CUIDADO PERSONAL;SOBRANTE-FALTANTE;2026;0;DEVOLUCIONES
CDI01;MEGABODEGA AEC;AJSOBRFAL-010288;C208609;ZAPATILLAS P/NIÑA INF DEP;ZAPATILLAS P/NIÑA INF DEP por complemento (Salida al C204360)(Fredy M);7/4/2026 00:00;60;8371.17;POS;AJUSTE DE ENTRADA DE PRODUCTOS POR COMPLEMENTO (DEPTO AJUSTES Y RECLAMOS);AECDOMINIO\AUXILIAR4.INVENTARIO;15;CALZADO;SOBRANTE-FALTANTE;2026;1;AJUSTES Y RECLAMOS
CDI01;MEGABODEGA AEC;AJSOBRFAL-010290;C163342;MASCARILLA FACIAL MASCARA 30ML 24K GOLD;MASCARILLA FACIAL MASCARA 30ML 24K GOLD sin saldopendiente para dañado dev Wendy D;11/4/2026 00:00;1;1.82;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN DEVOLUCIONES (PARA MERCADERIA DAÑADA SAN LORENZO) (DEPTO. DEVOLUCIONES);AECDOMINIO\AUXILIAR1.INVENTARIO;15;CUIDADO PERSONAL;SOBRANTE-FALTANTE;2026;1;DEVOLUCIONES
CDI01;MEGABODEGA AEC;AJSOBRFAL-010298;C169894;PACK TOBILLERAS P/NIÑO JUV 3PZS;PACK TOBILLERAS P/NIÑO JUV 3PZS sin saldo para depletar y enviar a P/V (Denis G);11/4/2026 00:00;8;182.27;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI (PARA DEPLETAR, Y ENVIAR A P/V. DEPTO DE INV.FISICO);AECDOMINIO\AUXILIAR4.INVENTARIO;15;INTERIOR DETALLE;SOBRANTE-FALTANTE;2026;1;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010298;C195909;BOXER P/DAMA ALGODON;BOXER P/DAMA ALGODON sin saldo para depletar y enviar a P/V (Denis G);11/4/2026 00:00;12;226.55;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI (PARA DEPLETAR, Y ENVIAR A P/V. DEPTO DE INV.FISICO);AECDOMINIO\AUXILIAR4.INVENTARIO;15;INTERIOR DETALLE;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010299;C079572;TOALLA D/MANO P/NIÑO(A) SURTIDA;TOALLA D/MANO P/NIÑO(A) SURTIDA sin saldo(se realizo salida en toma de inv.selectivo)Denis G;11/4/2026 00:00;2;21.42;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI (SE REALIZO SALIDA EN TOMA DE INV.SELECTIVO, DEPTO DE INV.FISICO);AECDOMINIO\AUXILIAR4.INVENTARIO;15;BEBE;SOBRANTE-FALTANTE;2026;1;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010299;C079573;TOALLA D/MANO P/NIÑO(A) SURTIDA;TOALLA D/MANO P/NIÑO(A) SURTIDA sin saldo(se realizo salida en toma de inv.selectivo)Denis G;11/4/2026 00:00;6;83.83;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI (SE REALIZO SALIDA EN TOMA DE INV.SELECTIVO, DEPTO DE INV.FISICO);AECDOMINIO\AUXILIAR4.INVENTARIO;15;BEBE;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010279;C155317;JEANS P/DAMA CAMPANA C/FAJON;JEANS P/DAMA CAMPANA C/FAJON sin saldo, se realizo una salida en toma de inv.selectivo (Denis G);6/4/2026 00:00;36;8262.51;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI (SE REALIZO SALIDA EN TOMA DE INV. SELECTIVO DEPTO INV.FISICO);AECDOMINIO\AUXILIAR4.INVENTARIO;15;ROPA;SOBRANTE-FALTANTE;2026;1;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010281;C204529;PIJAMA MAMA SIZE BLUSA M/C+PANTALON;PIJAMA MAMA SIZE BLUSA M/C+PANTALON faltante solicitado por recepcion (Ever O)(sobran. en otro conte;6/4/2026 00:00;-43;-6054.12;NEG;AJUSTE DE SALIDA DE PRODUCTO QUE SOBRO EN EL CONTENEDOR( FVS2026-50 Y FALTANTE EN FVS202-52)(DEPTO.AJUSTES Y RECLAMOS);AECDOMINIO\AUXILIAR4.INVENTARIO;15;ROPA;SOBRANTE-FALTANTE;2026;0;AJUSTES Y RECLAMOS
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C033518;SOMBRERO P/DAMA PLAYA;SOMBRERO P/DAMA PLAYA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;49.01;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C033523;SOMBRERO P/DAMA PLAYA;SOMBRERO P/DAMA PLAYA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;2;115.85;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C093191;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g) ;7/4/2026 00:00;16;821.77;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
